Player,pos,country,team,goals,loc
Alexis Sanchez,Forward,Chile,Arsenal,16,S.America
Aaron Ramsey,Midfielder,Wales,Arsenal,6,UK & Ireland
Calum Chambers,Defender,England,Arsenal,1,UK & Ireland
Alex Oxlade-Chamberlain,Midfielder,England,Arsenal,1,UK & Ireland
Danny Welbeck,Forward,England,Arsenal,4,UK & Ireland
Hector Bellerin,Defender,Spain,Arsenal,2,Europe
Jack Wilshere,Midfielder,England,Arsenal,2,UK & Ireland
Laurent Koscielny,Defender,France,Arsenal,3,Europe
Mathieu Debuchy,Defender,France,Arsenal,1,Europe
Mathieu Flamini,Midfielder,France,Arsenal,1,Europe
Mesut Ozil,Midfielder,Germany,Arsenal,4,Europe
Olivier Giroud,Forward,France,Arsenal,14,Europe
Santi Cazorla,Midfielder,Spain,Arsenal,7,Europe
Theo Walcott,Forward,England,Arsenal,5,UK & Ireland
Tomas Rosicky,Midfielder,Czech Republic,Arsenal,2,Europe
Alan Hutton,Defender,Scotland,Aston Villa,1,UK & Ireland
Andreas Weimann,Forward,Austria,Aston Villa,3,Europe
Carlos Sanchez,Midfielder,Colombia,Aston Villa,1,S.America
Christian Benteke,Forward,Belgium,Aston Villa,13,Europe
Ciaran Clark,Defender,Ireland,Aston Villa,1,UK & Ireland
Gabriel Agbonlahor,Forward,England,Aston Villa,6,UK & Ireland
Joe Cole,Midfielder,England,Aston Villa,1,UK & Ireland
Jores Okore,Defender,Denmark,Aston Villa,1,Europe
Scott Sinclair,Midfielder,England,Aston Villa,1,UK & Ireland
Tom Cleverley,Midfielder,England,Aston Villa,3,UK & Ireland
Ashley Barnes,Forward,England,Burnley,5,UK & Ireland
Ben Mee,Defender,England,Burnley,2,UK & Ireland
Danny Ings,Forward,England,Burnley,11,UK & Ireland
George Boyd,Midfielder,Scotland,Burnley,5,UK & Ireland
Michael Kightly,Midfielder,England,Burnley,1,UK & Ireland
Ross Wallace,Midfielder,Scotland,Burnley,1,UK & Ireland
Scott Arfield,Midfielder,Scotland,Burnley,2,UK & Ireland
Andre Schurrle,Midfielder,Germany,Chelsea,3,Europe
Branislav Ivanovic,Defender,Serbia,Chelsea,4,Europe
Cesc Fsbregas,Midfielder,Spain,Chelsea,3,Europe
Didier Drogba,Forward,Ivory Coast,Chelsea,4,Africa
Diego Costa,Forward,Spain,Chelsea,20,Europe
Eden Hazard,Midfielder,Belgium,Chelsea,14,Europe
Gary Cahill,Defender,England,Chelsea,1,UK & Ireland
John Terry,Defender,England,Chelsea,5,UK & Ireland
Loic Remy,Forward,France,Chelsea,7,Europe
Nemanja Matic,Midfielder,Serbia,Chelsea,1,Europe
Oscar,Midfielder,Brazil,Chelsea,6,S.America
Ramires,Midfielder,Brazil,Chelsea,2,S.America
Willian,Midfielder,Brazil,Chelsea,2,S.America
Brede Hangeland,Defender,Norway,Crystal Palace,2,Europe
Dwight Gayle,Forward,England,Crystal Palace,5,UK & Ireland
Frazier Campbell,Forward,England,Crystal Palace,4,UK & Ireland
Glenn Murray,Forward,England,Crystal Palace,7,UK & Ireland
James McArthur,Midfielder,Scotland,Crystal Palace,2,UK & Ireland
Jason Puncheon,Forward,England,Crystal Palace,6,UK & Ireland
Joe Ledley,Midfielder,Wales,Crystal Palace,2,UK & Ireland
Joel Ward,Defender,England,Crystal Palace,1,UK & Ireland
Marouane Chamakh,Forward,Morocco,Crystal Palace,2,Africa
Mile Jedinak,Midfielder,Australia,Crystal Palace,5,Oceania
Scott Dann,Defender,England,Crystal Palace,2,UK & Ireland
Wilfried Zaha,Forward,England,Crystal Palace,4,UK & Ireland
Yala Bolasie,Midfielder,Congo DR,Crystal Palace,4,Africa
Aaron Lennon,Midfielder,England,Everton,2,UK & Ireland
Aiden McGeady,Midfielder,Ireland,Everton,1,UK & Ireland
Arouna Kone,Forward,Ivory Coast,Everton,1,Africa
James McCarthy,Midfielder,Ireland,Everton,2,UK & Ireland
John Stones,Defender,England,Everton,1,UK & Ireland
Kevin Mirallas,Midfielder,Belgium,Everton,7,Europe
Leighton Baines,Defender,England,Everton,2,UK & Ireland
Leon Osman,Midfielder,England,Everton,2,UK & Ireland
Phil Jagielka,Defender,England,Everton,4,UK & Ireland
Romelu Lukaku,Forward,Belgium,Everton,10,Europe
Ross Barkley,Midfielder,England,Everton,2,UK & Ireland
Samuel Eto'o,Forward,Cameroon,Everton,3,Africa
Seamus Coleman,Defender,Ireland,Everton,3,UK & Ireland
Steven Naismith,Midfielder,Scotland,Everton,7,UK & Ireland
Abel Hernandez,Forward,Uruguay,Hull City,4,S.America
Ahmed El Mohamadi,Midfielder,Egypt,Hull City,2,Africa
Dame N'Doye,Forward,Senegal,Hull City,5,Africa
David Meyler,Midfielder,Ireland,Hull City,1,UK & Ireland
Gaston Ramirez,Midfielder,Uruguay,Hull City,1,S.America
Jake Livermore,Midfielder,England,Hull City,1,UK & Ireland
James Chester,Defender,Wales,Hull City,2,UK & Ireland
Michael Dawson,Defender,England,Hull City,1,UK & Ireland
Momo Diame,Midfielder,Senegal,Hull City,4,Africa
Nikica Jelavic,Forward,Croatia,Hull City,8,Europe
Paul McShane,Defender,Ireland,Hull City,1,UK & Ireland
Sone Aluko,Forward,Nigeria,Hull City,1,Africa
Stephen Quinn,Midfielder,Ireland,Hull City,1,UK & Ireland
Andrej Kramaric,Forward,Croatia,Leicester City,2,Europe
Andy King,Midfielder,Wales,Leicester City,2,UK & Ireland
Chris Wood,Forward,New Zealand,Leicester City,1,Oceania
David Nugent,Forward,England,Leicester City,5,UK & Ireland
Esteban Cambiasso,Midfielder,Argentina,Leicester City,5,S.America
Jamie Vardy,Forward,England,Leicester City,5,UK & Ireland
Jeffrey Schlupp,Midfielder,Ghana,Leicester City,3,Africa
Leonardo Ulloa,Forward,Argentina,Leicester City,11,S.America
Marc Albrighton,Midfielder,England,Leicester City,2,UK & Ireland
Marcin Wasilewski,Defender,Poland,Leicester City,1,Europe
Paul Konchesky,Defender,England,Leicester City,1,UK & Ireland
Riyad Mahrez,Midfielder,Algeria,Leicester City,4,Africa
Robert Huth,Defender,Germany,Leicester City,1,Europe
Wes Morgan,Defender,Jamaica,Leicester City,2,N&C America
Adam Lallana,Midfielder,England,Liverpool,5,UK & Ireland
Alberto Moreno,Defender,Spain,Liverpool,2,Europe
Coutinho,Midfielder,Brazil,Liverpool,5,S.America
Daniel Sturridge,Forward,England,Liverpool,4,UK & Ireland
Emre Can,Midfielder,Germany,Liverpool,1,Europe
Fabio Borini,Forward,Italy,Liverpool,1,Europe
Glen Johnson,Defender,England,Liverpool,1,UK & Ireland
Joe Allen,Midfielder,Wales,Liverpool,1,UK & Ireland
Jordan Henderson,Midfielder,England,Liverpool,6,UK & Ireland
Lazar Markovic,Midfielder,Serbia,Liverpool,2,Europe
Mario Balotelli,Forward,Italy,Liverpool,1,Europe
Martin Skrtel,Defender,Slovakia,Liverpool,1,Europe
Raheem Sterling,Forward,England,Liverpool,7,UK & Ireland
Rickie Lambert,Forward,England,Liverpool,2,UK & Ireland
Steven Gerrard,Midfielder,England,Liverpool,9,UK & Ireland
Aleksandar Kolarov,Defender,Serbia,Manchester City,2,Europe
David Silva,Forward,Spain,Manchester City,12,Europe
Edin Dzeko,Forward,Bosnia-Herzegovina,Manchester City,4,Europe
Fernandinho,Midfielder,Brazil,Manchester City,3,S.America
Fernando,Midfielder,Brazil,Manchester City,2,S.America
Frank Lampard,Midfielder,England,Manchester City,6,UK & Ireland
Gael Clichy,Defender,France,Manchester City,1,Europe
James Milner,Midfielder,England,Manchester City,5,UK & Ireland
Kun Aguero,Forward,Argentina,Manchester City,26,S.America
Martin Demichelis,Defender,Argentina,Manchester City,1,S.America
Pablo Zabaleta,Defender,Argentina,Manchester City,1,S.America
Samir Nasri,Midfielder,France,Manchester City,2,Europe
Stevan Jovetic,Forward,Montenegro,Manchester City,5,Europe
Wilfried Bony,Forward,Ivory Coast,Manchester City,11,Africa
Yaya Toure,Midfielder,Ivory Coast,Manchester City,10,Africa
Ander Herrera,Midfielder,Spain,Manchester United,6,Europe
Angel Di Maria,Midfielder,Argentina,Manchester United,3,S.America
Ashley Young,Midfielder,England,Manchester United,2,UK & Ireland
Chris Smalling,Defender,England,Manchester United,4,UK & Ireland
Daley Blind,Midfielder,Netherlands,Manchester United,2,Europe
Darren Fletcher,Midfielder,Scotland,Manchester United,1,UK & Ireland
James Wilson,Forward,England,Manchester United,1,UK & Ireland
Marouane Fellaini,Midfielder,Belgium,Manchester United,6,Europe
Mata,Midfielder,Spain,Manchester United,9,Europe
Michael Carrick,Midfielder,England,Manchester United,1,UK & Ireland
Radamel Falcao,Forward,Colombia,Manchester United,4,S.America
Robin van Persie,Forward,Netherlands,Manchester United,10,Europe
Wayne Rooney,Forward,England,Manchester United,12,UK & Ireland
Ayoze Perez,Forward,Spain,Newcastle United,7,Europe
Daryl Janmaat,Defender,Netherlands,Newcastle United,1,Europe
Emmanuel Rivicre,Forward,France,Newcastle United,1,Europe
Fabricio Coloccini,Defender,Argentina,Newcastle United,1,S.America
Gabriel Obertan,Midfielder,France,Newcastle United,1,Europe
Jack Colback,Midfielder,England,Newcastle United,4,UK & Ireland
Jonas Gutierrez,Midfielder,Argentina,Newcastle United,1,S.America
Mike Williamson,Defender,England,Newcastle United,1,UK & Ireland
Moussa Sissoko,Midfielder,France,Newcastle United,4,Europe
Papiss Demba Cisse,Forward,Senegal,Newcastle United,11,Africa
Remy Cabella,Midfielder,France,Newcastle United,1,Europe
Rolando Aarons,Midfielder,Jamaica,Newcastle United,1,N&C America
Sammy Ameobi,Forward,England,Newcastle United,2,UK & Ireland
Siem de Jong,Midfielder,Netherlands,Newcastle United,1,Europe
Steven Taylor,Defender,England,Newcastle United,1,UK & Ireland
Yoan Gouffran,Midfielder,France,Newcastle United,2,Europe
Bobby Zamora,Forward,England,Queens Park Rangers,3,UK & Ireland
Charlie Austin,Forward,England,Queens Park Rangers,18,UK & Ireland
Clint Hill,Defender,England,Queens Park Rangers,1,UK & Ireland
Eduardo Vargas,Forward,Chile,Queens Park Rangers,3,S.America
Joey Barton,Midfielder,England,Queens Park Rangers,1,UK & Ireland
Leroy Fer,Midfielder,Netherlands,Queens Park Rangers,6,Europe
Matt Phillips,Midfielder,Scotland,Queens Park Rangers,3,UK & Ireland
Mauro Zarate,Forward,Argentina,Queens Park Rangers,2,S.America
Niko Kranjcar,Midfielder,Croatia,Queens Park Rangers,2,Europe
Sandro,Midfielder,Brazil,Queens Park Rangers,1,S.America
Steven Caulker,Defender,England,Queens Park Rangers,1,UK & Ireland
Dusan Tadic,Midfielder,Serbia,Southampton,4,Europe
Eljero Elia,Midfielder,Netherlands,Southampton,2,Europe
Graziano Pellc,Forward,Italy,Southampton,12,Europe
Jack Cork,Midfielder,England,Southampton,3,UK & Ireland
James Ward-Prowse,Midfielder,England,Southampton,1,UK & Ireland
Maya Yoshida,Defender,Japan,Southampton,1,Asia
Morgan Schneiderlin,Midfielder,France,Southampton,4,Europe
Nathaniel Clyne,Defender,England,Southampton,2,UK & Ireland
Ryan Bertrand,Defender,England,Southampton,2,UK & Ireland
Sadio Mane,Midfielder,Senegal,Southampton,10,Africa
Shane Long,Forward,Ireland,Southampton,5,UK & Ireland
Toby Alderweireld,Defender,Belgium,Southampton,1,Europe
Victor Wanyama,Midfielder,Kenya,Southampton,3,Africa
Bojan,Midfielder,Spain,Stoke City,4,Europe
Charlie Adam,Midfielder,Scotland,Stoke City,7,UK & Ireland
Jon Walters,Forward,Ireland,Stoke City,8,UK & Ireland
Mame Diouf,Forward,Senegal,Stoke City,11,Africa
Marko Arnautovic,Forward,Austria,Stoke City,1,Europe
Peter Crouch,Forward,England,Stoke City,8,UK & Ireland
Ryan Shawcross,Midfielder,England,Stoke City,2,UK & Ireland
Steven N'Zonzi,Midfielder,France,Stoke City,3,Europe
Victor Moses,Midfielder,Nigeria,Stoke City,3,Africa
Adam Johnson,Midfielder,England,Sunderland AFC,4,UK & Ireland
Connor Wickham,Forward,England,Sunderland AFC,5,UK & Ireland
Danny Graham,Forward,England,Sunderland AFC,1,UK & Ireland
Jack Rodwell,Midfielder,England,Sunderland AFC,3,UK & Ireland
Jermain Defoe,Forward,England,Sunderland AFC,4,UK & Ireland
Jordi Gomez,Midfielder,Spain,Sunderland AFC,4,Europe
Lee Cattermole,Midfielder,England,Sunderland AFC,1,UK & Ireland
Sebastian Larsson,Midfielder,Sweden,Sunderland AFC,3,Europe
Steven Fletcher,Forward,Scotland,Sunderland AFC,5,UK & Ireland
Bafetimbi Gomis,Forward,France,Swansea City,7,Europe
Gylfi Sigurisson,Midfielder,Iceland,Swansea City,7,Europe
Jefferson Montero,Midfielder,Ecuador,Swansea City,1,S.America
Jonjo Shelvey,Midfielder,England,Swansea City,3,UK & Ireland
Nathan Dyer,Midfielder,England,Swansea City,3,UK & Ireland
Nelson Oliveira,Forward,Portugal,Swansea City,1,Europe
Sung-Yueng Ki,Midfielder,South Korea,Swansea City,8,Asia
Wayne Routledge,Midfielder,England,Swansea City,3,UK & Ireland
Andros Townsend,Midfielder,England,Tottenham Hotspur,2,UK & Ireland
Christian Eriksen,Midfielder,Denmark,Tottenham Hotspur,10,Europe
Danny Rose,Defender,England,Tottenham Hotspur,3,UK & Ireland
Emmanuel Adebayor,Forward,Togo,Tottenham Hotspur,2,Africa
Eric Dier,Defender,England,Tottenham Hotspur,2,UK & Ireland
Erik Lamela,Midfielder,Argentina,Tottenham Hotspur,2,S.America
Harry Kane,Forward,England,Tottenham Hotspur,21,UK & Ireland
Jan Vertonghen,Defender,Belgium,Tottenham Hotspur,1,Europe
Moussa Dembele,Midfielder,Belgium,Tottenham Hotspur,1,Europe
Nacer Chadli,Midfielder,Belgium,Tottenham Hotspur,11,Europe
Ryan Mason,Midfielder,England,Tottenham Hotspur,1,UK & Ireland
Soldado,Forward,Spain,Tottenham Hotspur,1,Europe
Brown Ideye,Forward,Nigeria,West Bromwich Albion,4,Africa
Chris Brunt,Midfielder,Northern Ireland,West Bromwich Albion,2,UK & Ireland
Craig Dawson,Defender,England,West Bromwich Albion,2,UK & Ireland
Craig Gardner,Midfielder,England,West Bromwich Albion,3,UK & Ireland
Gareth McAuley,Defender,Northern Ireland,West Bromwich Albion,1,UK & Ireland
