"player","date","titles"
"Adam Scott",2012.5,0
"Al Geiberger",1965.5,0
"Alec Ross",1906.5,0
"Alex Smith",1905.5,0
"Alf Padgham",1935.5,0
"Alf Perry",1934.5,0
"Andrew Strath",1864.5,0
"Andy North",1977.5,0
"Arnaud Massy",1906.5,0
"Arnold Palmer",1957.5,0
"Art Wall, Jr.",1958.5,0
"Arthur Havers",1922.5,0
"Ben Crenshaw",1983.5,0
"Ben Curtis",2002.5,0
"Ben Hogan",1945.5,0
"Bernhard Langer",1984.5,0
"Bill Rogers",1980.5,0
"Billy Burke",1930.5,0
"Billy Casper",1958.5,0
"Bob Charles",1962.5,0
"Bob Ferguson",1879.5,0
"Bob Goalby",1967.5,0
"Bob Hamilton",1943.5,0
"Bob Martin",1875.5,0
"Bob Rosburg",1958.5,0
"Bob Tway",1985.5,0
"Bobby Jones",1922.5,0
"Bobby Locke",1948.5,0
"Bobby Nichols",1963.5,0
"Bubba Watson",2011.5,0
"Byron Nelson",1936.5,0
"Cary Middlecoff",1948.5,0
"Chandler Harper",1949.5,0
"Charl Schwartzel",2010.5,0
"Charles Coody",1970.5,0
"Chick Evans",1915.5,0
"Chick Harbert",1953.5,0
"Claude Harmon",1947.5,0
"Corey Pavin",1994.5,0
"Craig Stadler",1981.5,0
"Craig Wood",1940.5,0
"Curtis Strange",1987.5,0
"Cyril Walker",1923.5,0
"Darren Clarke",2010.5,0
"Dave Marr",1964.5,0
"Dave Stockton",1969.5,0
"David Brown",1885.5,0
"David Duval",2000.5,0
"David Graham",1978.5,0
"David Toms",2000.5,0
"Davis Love III",1996.5,0
"Denny Shute",1932.5,0
"Dick Burton",1938.5,0
"Dick Mayer",1956.5,0
"Don January",1966.5,0
"Doug Ford",1954.5,0
"Dow Finsterwald",1957.5,0
"Ed Furgol",1953.5,0
"Ernie Els",1993.5,0
"Francis Ouimet",1912.5,0
"Fred Couples",1991.5,0
"Fred Daly",1946.5,0
"Fred Herd",1897.5,0
"Fred McLeod",1907.5,0
"Fuzzy Zoeller",1978.5,0
"Gary Player",1958.5,0
"Gay Brewer",1966.5,0
"Gene Littler",1960.5,0
"Gene Sarazen",1921.5,0
"Geoff Ogilvy",2005.5,0
"George Archer",1968.5,0
"George Duncan",1919.5,0
"George Sargent",1908.5,0
"Graeme McDowell",2009.5,0
"Greg Norman",1985.5,0
"Hal Sutton",1982.5,0
"Hale Irwin",1973.5,0
"Harold Hilton",1891.5,0
"Harry Vardon",1895.5,0
"Henry Cotton",1933.5,0
"Henry Cotton)",1947.5,0
"Henry Picard",1937.5,0
"Herman Keiser",1945.5,0
"Horace Rawlins",1894.5,0
"Horton Smith",1933.5,0
"Hubert Green",1976.5,0
"Hugh Kirkaldy",1890.5,0
"Ian Baker-Finch",1990.5,0
"Ian Woosnam",1990.5,0
"J.H. Taylor",1893.5,0
"Jack Burke, Jr.",1955.5,0
"Jack Burns",1887.5,0
"Jack Fleck",1954.5,0
"Jack Nicklaus",1961.5,0
"Jack Simpson",1883.5,0
"Jack White",1903.5,0
"James Braid",1900.5,0
"James Foulis",1895.5,0
"Jamie Anderson",1876.5,0
"Jason Dufner",2012.5,0
"Jay Hebert",1959.5,0
"Jeff Sluman",1987.5,0
"Jerome Travers",1914.5,0
"Jerry Barber",1960.5,0
"Jerry Pate",1975.5,0
"Jim Barnes",1915.5,0
"Jim Ferrier",1946.5,0
"Jim Furyk",2002.5,0
"Jim Turnesa",1951.5,0
"Jimmy Demaret",1939.5,0
"Jock Hutchison",1919.5,0
"Joe Lloyd",1896.5,0
"John Ball",1889.5,0
"John Daly",1990.5,0
"John Mahaffey",1977.5,0
"John McDermott",1910.5,0
"Johnny Farrell",1927.5,0
"Johnny Goodman",1932.5,0
"Johnny Miller",1972.5,0
"Johnny Revolta",1934.5,0
"Jordan Spieth",2014.5,0
"José María Olazábal",1993.5,0
"Julius Boros",1951.5,0
"Justin Leonard",1996.5,0
"Justin Rose",2012.5,0
"Keegan Bradley",2010.5,0
"Kel Nagle",1959.5,0
"Ken Venturi",1963.5,0
"Lanny Wadkins",1976.5,0
"Larry Mize",1986.5,0
"Larry Nelson",1980.5,0
"Laurie Auchterlonie",1901.5,0
"Lawson Little",1939.5,0
"Lee Janzen",1992.5,0
"Lee Trevino",1967.5,0
"Leo Diegel",1927.5,0
"Lew Worsham",1946.5,0
"Lionel Hebert",1956.5,0
"Lloyd Mangrum",1945.5,0
"Lou Graham",1974.5,0
"Louis Oosthuizen",2009.5,0
"Lucas Glover",2008.5,0
"Mark Brooks",1995.5,0
"Mark Calcavecchia",1988.5,0
"Mark O'Meara",1997.5,0
"Martin Kaymer",2009.5,0
"Max Faulkner",1950.5,0
"Michael Campbell",2004.5,0
"Mike Weir",2002.5,0
"Mungo Park",1873.5,0
"Nick Faldo",1986.5,0
"Nick Price",1991.5,0
"Olin Dutra",1931.5,0
"Orville Moody",1968.5,0
"Paul Azinger",1992.5,0
"Paul Lawrie",1998.5,0
"Paul Runyan",1933.5,0
"Payne Stewart",1988.5,0
"Peter Thomson",1953.5,0
"Phil Mickelson",2003.5,0
"Pádraig Harrington",2006.5,0
"Ralph Guldahl",1936.5,0
"Raymond Floyd",1968.5,0
"Reg Whitcombe",1937.5,0
"Retief Goosen",2000.5,0
"Rich Beem",2001.5,0
"Roberto De Vicenzo",1966.5,0
"Rory McIlroy",2010.5,0
"Sam Parks, Jr.",1934.5,0
"Sam Snead",1941.5,0
"Sandy Herd",1901.5,0
"Sandy Lyle",1984.5,0
"Scott Simpson",1986.5,0
"Seve Ballesteros",1978.5,0
"Shaun Micheel",2002.5,0
"Steve Elkington",1994.5,0
"Steve Jones",1995.5,0
"Stewart Cink",2008.5,0
"Ted Ray",1911.5,0
"Tiger Woods",1996.5,0
"Todd Hamilton",2003.5,0
"Tom Creavy",1930.5,0
"Tom Kidd",1872.5,0
"Tom Kite",1991.5,0
"Tom Lehman",1995.5,0
"Tom Morris, Jnr",1867.5,0
"Tom Morris, Snr",1860.5,0
"Tom Watson",1974.5,0
"Tom Weiskopf",1972.5,0
"Tommy Aaron",1972.5,0
"Tommy Armour",1926.5,0
"Tommy Bolt",1957.5,0
"Tony Jacklin",1968.5,0
"Tony Lema",1963.5,0
"Tony Manero",1935.5,0
"Trevor Immelman",2007.5,0
"Vic Ghezzi",1940.5,0
"Vijay Singh",1997.5,0
"Walter Burkemo",1952.5,0
"Walter Hagen",1913.5,0
"Wayne Grady",1989.5,0
"Webb Simpson",2011.5,0
"William Auchterlonie",1892.5,0
"Willie Anderson",1900.5,0
"Willie Fernie",1882.5,0
"Willie Macfarlane",1924.5,0
"Willie Park, Jnr",1886.5,0
"Willie Park, Snr",1859.5,0
"Willie Smith",1898.5,0
"Yang Yong-eun",2008.5,0
"Zach Johnson",2006.5,0
"Ángel Cabrera",2006.5,0
"Adam Scott",2013,1
"Al Geiberger",1966,1
"Alec Ross",1907,1
"Alex Smith",1906,1
"Alex Smith",1910,2
"Alf Padgham",1936,1
"Alf Perry",1935,1
"Andrew Strath",1865,1
"Andy North",1978,1
"Andy North",1985,2
"Arnaud Massy",1907,1
"Arnold Palmer",1958,1
"Arnold Palmer",1960,2
"Arnold Palmer",1960,3
"Arnold Palmer",1961,4
"Arnold Palmer",1962,5
"Arnold Palmer",1962,6
"Arnold Palmer",1964,7
"Art Wall, Jr.",1959,1
"Arthur Havers",1923,1
"Ben Crenshaw",1984,1
"Ben Crenshaw",1995,2
"Ben Curtis",2003,1
"Ben Hogan",1946,1
"Ben Hogan",1948,2
"Ben Hogan",1948,3
"Ben Hogan",1950,4
"Ben Hogan",1951,5
"Ben Hogan",1951,6
"Ben Hogan",1953,7
"Ben Hogan",1953,8
"Ben Hogan",1953,9
"Bernhard Langer",1985,1
"Bernhard Langer",1993,2
"Bill Rogers",1981,1
"Billy Burke",1931,1
"Billy Casper",1959,1
"Billy Casper",1966,2
"Billy Casper",1970,3
"Bob Charles",1963,1
"Bob Ferguson",1880,1
"Bob Ferguson",1881,2
"Bob Ferguson",1882,3
"Bob Goalby",1968,1
"Bob Hamilton",1944,1
"Bob Martin",1876,1
"Bob Martin",1885,2
"Bob Rosburg",1959,1
"Bob Tway",1986,1
"Bobby Jones",1923,1
"Bobby Jones",1926,2
"Bobby Jones",1926,3
"Bobby Jones",1927,4
"Bobby Jones",1929,5
"Bobby Jones",1930,6
"Bobby Jones",1930,7
"Bobby Locke",1949,1
"Bobby Locke",1950,2
"Bobby Locke",1952,3
"Bobby Locke",1957,4
"Bobby Nichols",1964,1
"Bubba Watson",2012,1
"Bubba Watson",2014,2
"Byron Nelson",1937,1
"Byron Nelson",1939,2
"Byron Nelson",1940,3
"Byron Nelson",1942,4
"Byron Nelson",1945,5
"Cary Middlecoff",1949,1
"Cary Middlecoff",1955,2
"Cary Middlecoff",1956,3
"Chandler Harper",1950,1
"Charl Schwartzel",2011,1
"Charles Coody",1971,1
"Chick Evans",1916,1
"Chick Harbert",1954,1
"Claude Harmon",1948,1
"Corey Pavin",1995,1
"Craig Stadler",1982,1
"Craig Wood",1941,1
"Craig Wood",1941,2
"Curtis Strange",1988,1
"Curtis Strange",1989,2
"Cyril Walker",1924,1
"Darren Clarke",2011,1
"Dave Marr",1965,1
"Dave Stockton",1970,1
"Dave Stockton",1976,2
"David Brown",1886,1
"David Duval",2001,1
"David Graham",1979,1
"David Graham",1981,2
"David Toms",2001,1
"Davis Love III",1997,1
"Denny Shute",1933,1
"Denny Shute",1936,2
"Denny Shute",1937,3
"Dick Burton",1939,1
"Dick Mayer",1957,1
"Don January",1967,1
"Doug Ford",1955,1
"Doug Ford",1957,2
"Dow Finsterwald",1958,1
"Ed Furgol",1954,1
"Ernie Els",1994,1
"Ernie Els",1997,2
"Ernie Els",2002,3
"Ernie Els",2012,4
"Francis Ouimet",1913,1
"Fred Couples",1992,1
"Fred Daly",1947,1
"Fred Herd",1898,1
"Fred McLeod",1908,1
"Fuzzy Zoeller",1979,1
"Fuzzy Zoeller",1984,2
"Gary Player",1959,1
"Gary Player",1961,2
"Gary Player",1962,3
"Gary Player",1965,4
"Gary Player",1968,5
"Gary Player",1972,6
"Gary Player",1974,7
"Gary Player",1974,8
"Gary Player",1978,9
"Gay Brewer",1967,1
"Gene Littler",1961,1
"Gene Sarazen",1922,1
"Gene Sarazen",1922,2
"Gene Sarazen",1923,3
"Gene Sarazen",1932,4
"Gene Sarazen",1932,5
"Gene Sarazen",1933,6
"Gene Sarazen",1935,7
"Geoff Ogilvy",2006,1
"George Archer",1969,1
"George Duncan",1920,1
"George Sargent",1909,1
"Graeme McDowell",2010,1
"Greg Norman",1986,1
"Greg Norman",1993,2
"Hal Sutton",1983,1
"Hale Irwin",1974,1
"Hale Irwin",1979,2
"Hale Irwin",1990,3
"Harold Hilton",1892,1
"Harold Hilton",1897,2
"Harry Vardon",1896,1
"Harry Vardon",1898,2
"Harry Vardon",1899,3
"Harry Vardon",1900,4
"Harry Vardon",1903,5
"Harry Vardon",1911,6
"Harry Vardon",1914,7
"Henry Cotton",1934,1
"Henry Cotton",1937,2
"Henry Cotton)",1948,1
"Henry Picard",1938,1
"Henry Picard",1939,2
"Herman Keiser",1946,1
"Horace Rawlins",1895,1
"Horton Smith",1934,1
"Horton Smith",1936,2
"Hubert Green",1977,1
"Hubert Green",1985,2
"Hugh Kirkaldy",1891,1
"Ian Baker-Finch",1991,1
"Ian Woosnam",1991,1
"J.H. Taylor",1894,1
"J.H. Taylor",1895,2
"J.H. Taylor",1900,3
"J.H. Taylor",1909,4
"J.H. Taylor",1913,5
"Jack Burke, Jr.",1956,1
"Jack Burke, Jr.",1956,2
"Jack Burns",1888,1
"Jack Fleck",1955,1
"Jack Nicklaus",1962,1
"Jack Nicklaus",1963,2
"Jack Nicklaus",1963,3
"Jack Nicklaus",1965,4
"Jack Nicklaus",1966,5
"Jack Nicklaus",1966,6
"Jack Nicklaus",1967,7
"Jack Nicklaus",1970,8
"Jack Nicklaus",1971,9
"Jack Nicklaus",1972,10
"Jack Nicklaus",1972,11
"Jack Nicklaus",1973,12
"Jack Nicklaus",1975,13
"Jack Nicklaus",1975,14
"Jack Nicklaus",1978,15
"Jack Nicklaus",1980,16
"Jack Nicklaus",1980,17
"Jack Nicklaus",1986,18
"Jack Simpson",1884,1
"Jack White",1904,1
"James Braid",1901,1
"James Braid",1905,2
"James Braid",1906,3
"James Braid",1908,4
"James Braid",1910,5
"James Foulis",1896,1
"Jamie Anderson",1877,1
"Jamie Anderson",1878,2
"Jamie Anderson",1879,3
"Jason Dufner",2013,1
"Jay Hebert",1960,1
"Jeff Sluman",1988,1
"Jerome Travers",1915,1
"Jerry Barber",1961,1
"Jerry Pate",1976,1
"Jim Barnes",1916,1
"Jim Barnes",1919,2
"Jim Barnes",1921,3
"Jim Barnes",1925,4
"Jim Ferrier",1947,1
"Jim Furyk",2003,1
"Jim Turnesa",1952,1
"Jimmy Demaret",1940,1
"Jimmy Demaret",1947,2
"Jimmy Demaret",1950,3
"Jock Hutchison",1920,1
"Jock Hutchison",1921,2
"Joe Lloyd",1897,1
"John Ball",1890,1
"John Daly",1991,1
"John Daly",1995,2
"John Mahaffey",1978,1
"John McDermott",1911,1
"John McDermott",1912,2
"Johnny Farrell",1928,1
"Johnny Goodman",1933,1
"Johnny Miller",1973,1
"Johnny Miller",1976,2
"Johnny Revolta",1935,1
"Jordan Spieth",2015,1
"Jordan Spieth",2015,2
"José María Olazábal",1994,1
"José María Olazábal",1999,2
"Julius Boros",1952,1
"Julius Boros",1963,2
"Julius Boros",1968,3
"Justin Leonard",1997,1
"Justin Rose",2013,1
"Keegan Bradley",2011,1
"Kel Nagle",1960,1
"Ken Venturi",1964,1
"Lanny Wadkins",1977,1
"Larry Mize",1987,1
"Larry Nelson",1981,1
"Larry Nelson",1983,2
"Larry Nelson",1987,3
"Laurie Auchterlonie",1902,1
"Lawson Little",1940,1
"Lee Janzen",1993,1
"Lee Janzen",1998,2
"Lee Trevino",1968,1
"Lee Trevino",1971,2
"Lee Trevino",1971,3
"Lee Trevino",1972,4
"Lee Trevino",1974,5
"Lee Trevino",1984,6
"Leo Diegel",1928,1
"Leo Diegel",1929,2
"Lew Worsham",1947,1
"Lionel Hebert",1957,1
"Lloyd Mangrum",1946,1
"Lou Graham",1975,1
"Louis Oosthuizen",2010,1
"Lucas Glover",2009,1
"Mark Brooks",1996,1
"Mark Calcavecchia",1989,1
"Mark O'Meara",1998,1
"Mark O'Meara",1998,2
"Martin Kaymer",2010,1
"Martin Kaymer",2014,2
"Max Faulkner",1951,1
"Michael Campbell",2005,1
"Mike Weir",2003,1
"Mungo Park",1874,1
"Nick Faldo",1987,1
"Nick Faldo",1989,2
"Nick Faldo",1990,3
"Nick Faldo",1990,4
"Nick Faldo",1992,5
"Nick Faldo",1996,6
"Nick Price",1992,1
"Nick Price",1994,2
"Nick Price",1994,3
"Olin Dutra",1932,1
"Olin Dutra",1934,2
"Orville Moody",1969,1
"Paul Azinger",1993,1
"Paul Lawrie",1999,1
"Paul Runyan",1934,1
"Paul Runyan",1938,2
"Payne Stewart",1989,1
"Payne Stewart",1991,2
"Payne Stewart",1999,3
"Peter Thomson",1954,1
"Peter Thomson",1955,2
"Peter Thomson",1956,3
"Peter Thomson",1958,4
"Peter Thomson",1965,5
"Phil Mickelson",2004,1
"Phil Mickelson",2005,2
"Phil Mickelson",2006,3
"Phil Mickelson",2010,4
"Phil Mickelson",2013,5
"Pádraig Harrington",2007,1
"Pádraig Harrington",2008,2
"Pádraig Harrington",2008,3
"Ralph Guldahl",1937,1
"Ralph Guldahl",1938,2
"Ralph Guldahl",1939,3
"Raymond Floyd",1969,1
"Raymond Floyd",1976,2
"Raymond Floyd",1982,3
"Raymond Floyd",1986,4
"Reg Whitcombe",1938,1
"Retief Goosen",2001,1
"Retief Goosen",2004,2
"Rich Beem",2002,1
"Roberto De Vicenzo",1967,1
"Rory McIlroy",2011,1
"Rory McIlroy",2012,2
"Rory McIlroy",2014,3
"Rory McIlroy",2014,4
"Sam Parks, Jr.",1935,1
"Sam Snead",1942,1
"Sam Snead",1946,2
"Sam Snead",1949,3
"Sam Snead",1949,4
"Sam Snead",1951,5
"Sam Snead",1952,6
"Sam Snead",1954,7
"Sandy Herd",1902,1
"Sandy Lyle",1985,1
"Sandy Lyle",1988,2
"Scott Simpson",1987,1
"Seve Ballesteros",1979,1
"Seve Ballesteros",1980,2
"Seve Ballesteros",1983,3
"Seve Ballesteros",1984,4
"Seve Ballesteros",1988,5
"Shaun Micheel",2003,1
"Steve Elkington",1995,1
"Steve Jones",1996,1
"Stewart Cink",2009,1
"Ted Ray",1912,1
"Ted Ray",1920,2
"Tiger Woods",1997,1
"Tiger Woods",1999,2
"Tiger Woods",2000,3
"Tiger Woods",2000,4
"Tiger Woods",2000,5
"Tiger Woods",2001,6
"Tiger Woods",2002,7
"Tiger Woods",2002,8
"Tiger Woods",2005,9
"Tiger Woods",2005,10
"Tiger Woods",2006,11
"Tiger Woods",2006,12
"Tiger Woods",2007,13
"Tiger Woods",2008,14
"Todd Hamilton",2004,1
"Tom Creavy",1931,1
"Tom Kidd",1873,1
"Tom Kite",1992,1
"Tom Lehman",1996,1
"Tom Morris, Jnr",1868,1
"Tom Morris, Jnr",1869,2
"Tom Morris, Jnr",1870,3
"Tom Morris, Jnr",1872,4
"Tom Morris, Snr",1861,1
"Tom Morris, Snr",1862,2
"Tom Morris, Snr",1864,3
"Tom Morris, Snr",1867,4
"Tom Watson",1975,1
"Tom Watson",1977,2
"Tom Watson",1977,3
"Tom Watson",1980,4
"Tom Watson",1981,5
"Tom Watson",1982,6
"Tom Watson",1982,7
"Tom Watson",1983,8
"Tom Weiskopf",1973,1
"Tommy Aaron",1973,1
"Tommy Armour",1927,1
"Tommy Armour",1930,2
"Tommy Armour",1931,3
"Tommy Bolt",1958,1
"Tony Jacklin",1969,1
"Tony Jacklin",1970,2
"Tony Lema",1964,1
"Tony Manero",1936,1
"Trevor Immelman",2008,1
"Vic Ghezzi",1941,1
"Vijay Singh",1998,1
"Vijay Singh",2000,2
"Vijay Singh",2004,3
"Walter Burkemo",1953,1
"Walter Hagen",1914,1
"Walter Hagen",1919,2
"Walter Hagen",1921,3
"Walter Hagen",1922,4
"Walter Hagen",1924,5
"Walter Hagen",1924,6
"Walter Hagen",1925,7
"Walter Hagen",1926,8
"Walter Hagen",1927,9
"Walter Hagen",1928,10
"Walter Hagen",1929,11
"Wayne Grady",1990,1
"Webb Simpson",2012,1
"William Auchterlonie",1893,1
"Willie Anderson",1901,1
"Willie Anderson",1903,2
"Willie Anderson",1904,3
"Willie Anderson",1905,4
"Willie Fernie",1883,1
"Willie Macfarlane",1925,1
"Willie Park, Jnr",1887,1
"Willie Park, Jnr",1889,2
"Willie Park, Snr",1860,1
"Willie Park, Snr",1863,2
"Willie Park, Snr",1866,3
"Willie Park, Snr",1875,4
"Willie Smith",1899,1
"Yang Yong-eun",2009,1
"Zach Johnson",2007,1
"Ángel Cabrera",2007,1
"Ángel Cabrera",2009,2
