date,comp,player,titles,TOT,AUS,FRA,WIM,US
1935.5,US Open,Alice Marble,0,6,0,0,1,5
1936,US Open,Alice Marble,1,6,0,0,1,5
1938,US Open,Alice Marble,2,6,0,0,1,5
1939,Wimbledon,Alice Marble,3,6,0,0,1,5
1939,US Open,Alice Marble,4,6,0,0,1,5
1940,US Open,Alice Marble,5,6,0,0,1,5
1892.5,US Open,Aline Terry,0,2,0,0,0,2
1893,US Open,Aline Terry,1,2,0,0,0,2
1955.5,French Open,Althea Gibson,0,6,0,2,2,2
1956,French Open,Althea Gibson,1,6,0,2,2,2
1957,Wimbledon,Althea Gibson,2,6,0,2,2,2
1957,US Open,Althea Gibson,3,6,0,2,2,2
1958,Wimbledon,Althea Gibson,4,6,0,2,2,2
1958,US Open,Althea Gibson,5,6,0,2,2,2
2005.5,Australian Open,Amélie Mauresmo,0,3,2,0,1,0
2006,Australian Open,Amélie Mauresmo,1,3,2,0,1,0
2006,Wimbledon,Amélie Mauresmo,2,3,2,0,1,0
2007.5,French Open,Ana Ivanovic,0,2,0,2,0,0
2008,French Open,Ana Ivanovic,1,2,0,2,0,0
2003.5,French Open,Anastasia Myskina,0,2,0,2,0,0
2004,French Open,Anastasia Myskina,1,2,0,2,0,0
1954.5,French Open,Angela Mortimer Barrett,0,4,1,2,1,0
1955,French Open,Angela Mortimer Barrett,1,4,1,2,1,0
1958,Australian Open,Angela Mortimer Barrett,2,4,1,2,1,0
1961,Wimbledon,Angela Mortimer Barrett,3,4,1,2,1,0
1936.5,US Open,Anita Lizana de Ellis,0,2,0,0,0,2
1937,US Open,Anita Lizana de Ellis,1,2,0,0,0,2
1960.5,French Open,Ann Haydon-Jones,0,4,0,3,1,0
1961,French Open,Ann Haydon-Jones,1,4,0,3,1,0
1966,French Open,Ann Haydon-Jones,2,4,0,3,1,0
1969,Wimbledon,Ann Haydon-Jones,3,4,0,3,1,0
1988.5,French Open,Arantxa Sánchez Vicario,0,5,0,4,0,1
1989,French Open,Arantxa Sánchez Vicario,1,5,0,4,0,1
1994,French Open,Arantxa Sánchez Vicario,2,5,0,4,0,1
1994,US Open,Arantxa Sánchez Vicario,3,5,0,4,0,1
1998,French Open,Arantxa Sánchez Vicario,4,5,0,4,0,1
1978.5,Australian Open,Barbara Jordan,0,2,2,0,0,0
1979,Australian Open,Barbara Jordan,1,2,2,0,0,0
1887.5,US Open,Bertha Townsend,0,3,0,0,0,3
1888,US Open,Bertha Townsend,1,3,0,0,0,3
1889,US Open,Bertha Townsend,2,3,0,0,0,3
1954.5,Australian Open,Beryl Penrose,0,2,2,0,0,0
1955,Australian Open,Beryl Penrose,1,2,2,0,0,0
1929.5,US Open,Betty Nuthall Shoemaker,0,2,0,0,0,2
1930,US Open,Betty Nuthall Shoemaker,1,2,0,0,0,2
1965.5,Wimbledon,Billie Jean King,0,13,1,1,7,4
1966,Wimbledon,Billie Jean King,1,13,1,1,7,4
1967,Wimbledon,Billie Jean King,2,13,1,1,7,4
1967,US Open,Billie Jean King,3,13,1,1,7,4
1968,Australian Open,Billie Jean King,4,13,1,1,7,4
1968,Wimbledon,Billie Jean King,5,13,1,1,7,4
1971,US Open,Billie Jean King,6,13,1,1,7,4
1972,French Open,Billie Jean King,7,13,1,1,7,4
1972,Wimbledon,Billie Jean King,8,13,1,1,7,4
1972,US Open,Billie Jean King,9,13,1,1,7,4
1973,Wimbledon,Billie Jean King,10,13,1,1,7,4
1974,US Open,Billie Jean King,11,13,1,1,7,4
1975,Wimbledon,Billie Jean King,12,13,1,1,7,4
1885.5,Wimbledon,Blanche Bingley Hillyard,0,7,0,0,7,0
1886,Wimbledon,Blanche Bingley Hillyard,1,7,0,0,7,0
1889,Wimbledon,Blanche Bingley Hillyard,2,7,0,0,7,0
1894,Wimbledon,Blanche Bingley Hillyard,3,7,0,0,7,0
1897,Wimbledon,Blanche Bingley Hillyard,4,7,0,0,7,0
1899,Wimbledon,Blanche Bingley Hillyard,5,7,0,0,7,0
1900,Wimbledon,Blanche Bingley Hillyard,6,7,0,0,7,0
1894.5,Wimbledon,Charlotte Cooper Sterry,0,6,0,0,6,0
1895,Wimbledon,Charlotte Cooper Sterry,1,6,0,0,6,0
1896,Wimbledon,Charlotte Cooper Sterry,2,6,0,0,6,0
1898,Wimbledon,Charlotte Cooper Sterry,3,6,0,0,6,0
1901,Wimbledon,Charlotte Cooper Sterry,4,6,0,0,6,0
1908,Wimbledon,Charlotte Cooper Sterry,5,6,0,0,6,0
1973.5,French Open,Chris Evert,0,19,2,8,3,6
1974,French Open,Chris Evert,1,19,2,8,3,6
1974,Wimbledon,Chris Evert,2,19,2,8,3,6
1975,French Open,Chris Evert,3,19,2,8,3,6
1975,US Open,Chris Evert,4,19,2,8,3,6
1976,Wimbledon,Chris Evert,5,19,2,8,3,6
1976,US Open,Chris Evert,6,19,2,8,3,6
1977,US Open,Chris Evert,7,19,2,8,3,6
1978,US Open,Chris Evert,8,19,2,8,3,6
1979,French Open,Chris Evert,9,19,2,8,3,6
1980,French Open,Chris Evert,10,19,2,8,3,6
1980,US Open,Chris Evert,11,19,2,8,3,6
1981,Wimbledon,Chris Evert,12,19,2,8,3,6
1982,Australian Open,Chris Evert,13,19,2,8,3,6
1982,US Open,Chris Evert,14,19,2,8,3,6
1983,French Open,Chris Evert,15,19,2,8,3,6
1984,Australian Open,Chris Evert,16,19,2,8,3,6
1985,French Open,Chris Evert,17,19,2,8,3,6
1986,French Open,Chris Evert,18,19,2,8,3,6
1977.5,Australian Open,Chris O'Neil,0,2,2,0,0,0
1978,Australian Open,Chris O'Neil,1,2,2,0,0,0
1958.5,French Open,Christine Truman Janes,0,2,0,2,0,0
1959,French Open,Christine Truman Janes,1,2,0,2,0,0
1930.5,French Open,Cilly Aussem,0,3,0,2,1,0
1931,French Open,Cilly Aussem,1,3,0,2,1,0
1931,Wimbledon,Cilly Aussem,2,3,0,2,1,0
1993.5,Wimbledon,Conchita Martínez,0,2,0,0,2,0
1994,Wimbledon,Conchita Martínez,1,2,0,0,2,0
1930.5,Australian Open,Coral McInnes Buttsworth,0,3,3,0,0,0
1931,Australian Open,Coral McInnes Buttsworth,1,3,3,0,0,0
1932,Australian Open,Coral McInnes Buttsworth,2,3,3,0,0,0
1924.5,Australian Open,Daphne Akhurst Cozens,0,6,6,0,0,0
1925,Australian Open,Daphne Akhurst Cozens,1,6,6,0,0,0
1926,Australian Open,Daphne Akhurst Cozens,2,6,6,0,0,0
1928,Australian Open,Daphne Akhurst Cozens,3,6,6,0,0,0
1929,Australian Open,Daphne Akhurst Cozens,4,6,6,0,0,0
1930,Australian Open,Daphne Akhurst Cozens,5,6,6,0,0,0
1959.5,French Open,Darlene Hard,0,4,0,2,0,2
1960,French Open,Darlene Hard,1,4,0,2,0,2
1960,US Open,Darlene Hard,2,4,0,2,0,2
1961,US Open,Darlene Hard,3,4,0,2,0,2
1908.5,Wimbledon,Dora Boothby,0,2,0,0,2,0
1909,Wimbledon,Dora Boothby,1,2,0,0,2,0
1948.5,Australian Open,Doris Hart,0,7,2,2,1,2
1949,Australian Open,Doris Hart,1,7,2,2,1,2
1950,French Open,Doris Hart,2,7,2,2,1,2
1951,Wimbledon,Doris Hart,3,7,2,2,1,2
1952,French Open,Doris Hart,4,7,2,2,1,2
1954,US Open,Doris Hart,5,7,2,2,1,2
1955,US Open,Doris Hart,6,7,2,2,1,2
1902.5,Wimbledon,Dorothea Lambert Chambers,0,8,0,0,8,0
1903,Wimbledon,Dorothea Lambert Chambers,1,8,0,0,8,0
1904,Wimbledon,Dorothea Lambert Chambers,2,8,0,0,8,0
1906,Wimbledon,Dorothea Lambert Chambers,3,8,0,0,8,0
1910,Wimbledon,Dorothea Lambert Chambers,4,8,0,0,8,0
1911,Wimbledon,Dorothea Lambert Chambers,5,8,0,0,8,0
1913,Wimbledon,Dorothea Lambert Chambers,6,8,0,0,8,0
1914,Wimbledon,Dorothea Lambert Chambers,7,8,0,0,8,0
1937.5,Australian Open,Dorothy Bundy Cheney,0,2,2,0,0,0
1938,Australian Open,Dorothy Bundy Cheney,1,2,2,0,0,0
1933.5,Wimbledon,Dorothy Round Little,0,4,1,0,3,0
1934,Wimbledon,Dorothy Round Little,1,4,1,0,3,0
1935,Australian Open,Dorothy Round Little,2,4,1,0,3,0
1937,Wimbledon,Dorothy Round Little,3,4,1,0,3,0
1895.5,US Open,Elisabeth Moore,0,5,0,0,0,5
1896,US Open,Elisabeth Moore,1,5,0,0,0,5
1901,US Open,Elisabeth Moore,2,5,0,0,0,5
1903,US Open,Elisabeth Moore,3,5,0,0,0,5
1905,US Open,Elisabeth Moore,4,5,0,0,0,5
1886.5,US Open,Ellen Hansell,0,2,0,0,0,2
1887,US Open,Ellen Hansell,1,2,0,0,0,2
1889.5,US Open,Ellen Roosevelt,0,2,0,0,0,2
1890,US Open,Ellen Roosevelt,1,2,0,0,0,2
1938.5,Australian Open,Emily Hood Westacott,0,2,2,0,0,0
1939,Australian Open,Emily Hood Westacott,1,2,2,0,0,0
1926.5,Australian Open,Esna Boyd Robertson,0,2,2,0,0,0
1927,Australian Open,Esna Boyd Robertson,1,2,2,0,0,0
1911.5,Wimbledon,Ethel Thomson Larcombe,0,2,0,0,2,0
1912,Wimbledon,Ethel Thomson Larcombe,1,2,0,0,2,0
1906.5,US Open,Evelyn Sears,0,2,0,0,0,2
1907,US Open,Evelyn Sears,1,2,0,0,0,2
1970.5,French Open,Evonne Goolagong Cawley,0,8,4,2,2,0
1971,French Open,Evonne Goolagong Cawley,1,8,4,2,2,0
1971,Wimbledon,Evonne Goolagong Cawley,2,8,4,2,2,0
1974,Australian Open,Evonne Goolagong Cawley,3,8,4,2,2,0
1975,Australian Open,Evonne Goolagong Cawley,4,8,4,2,2,0
1976,Australian Open,Evonne Goolagong Cawley,5,8,4,2,2,0
1977,Australian Open,Evonne Goolagong Cawley,6,8,4,2,2,0
1980,Wimbledon,Evonne Goolagong Cawley,7,8,4,2,2,0
2009.5,French Open,Francesca Schiavone,0,2,0,2,0,0
2010,French Open,Francesca Schiavone,1,2,0,2,0,0
1966.5,French Open,Françoise Dürr,0,2,0,2,0,0
1967,French Open,Françoise Dürr,1,2,0,2,0,0
1989.5,US Open,Gabriela Sabatini,0,2,0,0,0,2
1990,US Open,Gabriela Sabatini,1,2,0,0,0,2
1979.5,Australian Open,Hana Mandlíková,0,5,3,1,0,1
